BuyerRef;DeliveryDate;TotalPrice;PaymentDuration
1092;2012-01-18;23356;26
1093;2012-01-19;24236;7
1095;2012-01-19;27490;5
1024;2012-01-19;18031;7
1098;2012-01-19;19391;5
1093;2012-01-19;20370;6
1078;2012-01-19;27744;7
1078;2012-01-19;26253;6
1071;2012-01-19;24227;6
1075;2012-01-19;26687;7
1007;2012-01-19;21854;6
1070;2012-01-19;26287;16
1055;2012-01-19;19813;15
1036;2012-01-19;20837;19
1010;2012-01-19;22011;13
1013;2012-01-19;21499;19
1056;2012-01-19;19431;17
1028;2012-01-19;19082;24
1081;2012-01-19;26373;22
1081;2012-01-19;22894;28
1081;2012-01-19;21408;26
1039;2012-01-19;27798;22
1051;2012-01-20;22082;6
1007;2012-01-20;18841;7
1088;2012-01-20;21961;16
1055;2012-01-20;24733;21
1046;2012-01-20;23502;10
1088;2012-01-20;21818;15
1028;2012-01-20;20117;22
1039;2012-01-20;21893;21
1028;2012-01-20;21170;30
1081;2012-01-20;26706;20
1078;2012-01-21;19140;6
1069;2012-01-21;23132;7
1094;2012-01-21;26526;5
1083;2012-01-21;20860;7
1100;2012-01-21;19107;18
1048;2012-01-21;22992;18
1090;2012-01-21;24111;18
1090;2012-01-21;26061;15
1006;2012-01-21;27456;15
1063;2012-01-21;23389;11
1028;2012-01-21;25660;25
1062;2012-01-22;22454;5
1024;2012-01-22;22660;6
1024;2012-01-22;21341;7
1024;2012-01-22;26730;5
1083;2012-01-22;27988;7
1043;2012-01-22;27708;27
1085;2012-01-22;22584;19
1056;2012-01-22;20908;20
1045;2012-01-22;19440;18
1060;2012-01-22;23966;22
1027;2012-01-22;27209;16
1078;2012-01-23;25259;7
1071;2012-01-23;19547;6
1062;2012-01-23;21232;7
1004;2012-01-23;26304;18
1091;2012-01-23;24451;16
1048;2012-01-23;18069;15
1082;2012-01-23;23651;18
1090;2012-01-23;18482;18
1059;2012-01-23;22162;17
1023;2012-01-23;18744;25
1039;2012-01-23;26229;21
1081;2012-01-23;25913;27
1094;2012-01-24;19627;6
1078;2012-01-24;24517;7
1093;2012-01-24;24982;4
1062;2012-01-24;23576;6
1094;2012-01-24;18897;7
1026;2012-01-24;21093;19
1097;2012-01-24;27818;18
1043;2012-01-24;19831;21
1041;2012-01-24;19584;18
1020;2012-01-24;24715;11
1058;2012-01-24;25357;18
1039;2012-01-24;24407;25
1081;2012-01-24;23235;26
1028;2012-01-24;18765;24
1028;2012-01-24;23031;29
1073;2012-01-25;22112;7
1098;2012-01-25;22668;6
1062;2012-01-25;25437;6
1075;2012-01-25;26501;7
1024;2012-01-25;22359;5
1043;2012-01-25;22245;23
1099;2012-01-25;21721;20
1054;2012-01-25;19350;22
1084;2012-01-25;23227;13
1066;2012-01-25;26424;16
1039;2012-01-25;19887;29
1062;2012-01-26;24911;7
1016;2012-01-26;22404;19
1046;2012-01-26;20666;20
1038;2012-01-26;20749;17
1067;2012-01-26;24201;20
1050;2012-01-26;27952;18
1039;2012-01-26;26519;23
1092;2012-01-26;22753;22
1098;2012-01-27;18453;6
1083;2012-01-27;19008;4
1078;2012-01-27;21883;5
1071;2012-01-27;26329;6
1064;2012-01-27;18565;6
1047;2012-01-27;20029;13
1015;2012-01-27;22762;14
1066;2012-01-27;24185;21
1017;2012-01-27;21211;18
1048;2012-01-27;19673;21
1090;2012-01-27;21340;24
1087;2012-01-27;22954;17
1029;2012-01-27;22637;17
1089;2012-01-27;24690;14
1039;2012-01-27;25817;23
1039;2012-01-27;22162;30
1095;2012-01-28;21577;7
1069;2012-01-28;20844;6
1003;2012-01-28;25548;17
1053;2012-01-28;27050;16
1034;2012-01-28;20208;23
1018;2012-01-28;23154;19
1066;2012-01-28;23771;20
1057;2012-01-28;25503;13
1040;2012-01-28;20869;23
1060;2012-01-28;22590;17
1039;2012-01-28;25279;26
1098;2012-01-29;25524;7
1075;2012-01-29;20058;7
1023;2012-01-29;20052;21
1063;2012-01-29;18060;28
1044;2012-01-29;20958;19
1060;2012-01-29;20049;19
1020;2012-01-29;23190;16
1039;2012-01-29;27178;26
1071;2012-01-30;27830;4
1055;2012-01-30;19320;15
1070;2012-01-30;18357;19
1026;2012-01-30;23721;16
1017;2012-01-30;25086;20
1085;2012-01-30;20887;15
1028;2012-01-30;21742;29
1028;2012-01-30;21854;26
1039;2012-01-30;19125;24
1081;2012-01-30;22265;20
1039;2012-01-30;23635;28
1083;2012-01-31;18784;6
1078;2012-01-31;25451;6
1073;2012-01-31;20574;7
1024;2012-01-31;20356;7
1015;2012-01-31;23309;22
1087;2012-01-31;18695;15
1033;2012-01-31;20580;8
1096;2012-01-31;18845;24
1081;2012-01-31;19829;24
1092;2012-01-31;25338;28
1092;2012-01-31;23218;25
1028;2012-01-31;18106;29
1069;2012-02-01;25032;7
1075;2012-02-01;20915;5
1093;2012-02-01;25601;6
1009;2012-02-01;23577;19
1050;2012-02-01;26562;17
1008;2012-02-01;26737;14
1059;2012-02-01;26914;21
1097;2012-02-01;21066;21
1028;2012-02-01;20712;27
1028;2012-02-01;20386;26
1092;2012-02-01;21523;24
1039;2012-02-01;25228;23
1014;2012-02-01;18461;22
1014;2012-02-01;27592;21
1051;2012-02-02;22379;6
1095;2012-02-02;23966;7
1098;2012-02-02;23987;7
1029;2012-02-02;27697;19
1008;2012-02-02;26690;16
1006;2012-02-02;22928;25
1039;2012-02-02;19489;26
1081;2012-02-02;23818;30
1039;2012-02-02;26756;21
1098;2012-02-03;21279;5
1062;2012-02-03;25374;7
1093;2012-02-03;27472;5
1083;2012-02-03;23552;4
1062;2012-02-03;25738;6
1010;2012-02-03;24114;18
1023;2012-02-03;22466;18
1034;2012-02-03;25202;23
1037;2012-02-03;19826;22
1027;2012-02-03;23033;14
1090;2012-02-03;24786;10
1035;2012-02-03;19555;19
1035;2012-02-03;20909;19
1082;2012-02-03;18944;13
1039;2012-02-03;19127;25
1039;2012-02-03;24037;17
1051;2012-02-04;22163;6
1095;2012-02-04;24108;6
1071;2012-02-04;20923;5
1078;2012-02-04;27784;4
1071;2012-02-04;26098;7
1064;2012-02-04;22569;6
1094;2012-02-04;25217;6
1012;2012-02-04;26886;23
1085;2012-02-04;27258;22
1037;2012-02-04;24732;13
1034;2012-02-04;20125;16
1055;2012-02-04;24237;9
1011;2012-02-04;18536;16
1054;2012-02-04;27424;22
1023;2012-02-04;21000;12
1028;2012-02-04;22715;30
1081;2012-02-04;26875;28
1092;2012-02-04;20460;23
1051;2012-02-05;27375;7
1064;2012-02-05;20854;4
1078;2012-02-05;24719;6
1075;2012-02-05;19718;7
1042;2012-02-05;18183;19
1085;2012-02-05;24230;14
1016;2012-02-05;18439;19
1085;2012-02-05;19404;16
1079;2012-02-05;18879;21
1021;2012-02-05;19408;24
1044;2012-02-05;20588;18
1042;2012-02-05;22721;23
1081;2012-02-05;18948;27
1098;2012-02-06;19636;7
1062;2012-02-06;21589;4
1062;2012-02-06;21297;7
1064;2012-02-06;19701;5
1051;2012-02-06;24079;5
1064;2012-02-06;21776;6
1098;2012-02-06;19101;6
1075;2012-02-06;21338;4
1062;2012-02-06;25248;7
1004;2012-02-06;27055;14
1065;2012-02-06;21560;23
1028;2012-02-06;27633;21
1028;2012-02-06;25822;29
1092;2012-02-06;22195;25
1051;2012-02-07;20401;5
1034;2012-02-07;21345;18
1052;2012-02-07;23801;18
1015;2012-02-07;25691;17
1081;2012-02-07;20912;24
1081;2012-02-07;22659;24
1081;2012-02-07;18121;28
1024;2012-02-08;19185;5
1064;2012-02-08;21869;6
1095;2012-02-08;26501;6
1050;2012-02-08;26643;15
1048;2012-02-08;23849;16
1016;2012-02-08;26282;13
1023;2012-02-08;18345;10
1081;2012-02-08;25322;24
1081;2012-02-08;22775;29
1024;2012-02-09;19981;6
1095;2012-02-09;27434;6
1095;2012-02-09;22546;7
1051;2012-02-09;26465;5
1071;2012-02-09;21530;7
1049;2012-02-09;18059;19
1034;2012-02-09;25588;16
1011;2012-02-09;24588;15
1074;2012-02-09;22544;14
1059;2012-02-09;18448;25
1046;2012-02-09;26713;26
1039;2012-02-09;19715;24
1098;2012-02-10;18682;6
1007;2012-02-10;20513;6
1053;2012-02-10;27732;23
1041;2012-02-10;20845;26
1040;2012-02-10;18118;26
1033;2012-02-10;21855;14
1046;2012-02-10;19002;21
1028;2012-02-10;26529;21
1028;2012-02-10;18755;25
1073;2012-02-11;23079;6
1083;2012-02-11;20188;7
1069;2012-02-11;18233;6
1001;2012-02-11;23213;4
1051;2012-02-11;24103;7
1073;2012-02-11;20800;7
1021;2012-02-11;23542;23
1096;2012-02-11;23404;17
1080;2012-02-11;21330;20
1038;2012-02-11;19702;12
1020;2012-02-11;21988;23
1028;2012-02-11;24662;28
1092;2012-02-11;25788;30
1014;2012-02-11;25070;24
1024;2012-02-12;25987;7
1078;2012-02-12;24686;6
1061;2012-02-12;25272;18
1014;2012-02-12;19141;18
1014;2012-02-12;18186;23
1081;2012-02-12;26642;24
1028;2012-02-12;27199;24
1024;2012-02-13;19150;7
1024;2012-02-13;19919;7
1048;2012-02-13;22610;20
1050;2012-02-13;19319;23
1019;2012-02-13;25842;19
1084;2012-02-13;25347;12
1042;2012-02-13;19406;23
1092;2012-02-13;26881;15
1083;2012-02-14;22928;5
1093;2012-02-14;26799;7
1078;2012-02-14;26846;6
1062;2012-02-14;25387;7
1087;2012-02-14;18569;14
1070;2012-02-14;26873;15
1018;2012-02-14;23336;14
1020;2012-02-14;27026;17
1010;2012-02-14;27407;19
1081;2012-02-14;25765;30
1051;2012-02-15;20033;5
1075;2012-02-15;19684;4
1075;2012-02-15;24349;7
1043;2012-02-15;22678;20
1045;2012-02-15;23880;13
1067;2012-02-15;19059;12
1016;2012-02-15;26791;14
1005;2012-02-15;23153;22
1016;2012-02-15;24310;11
1082;2012-02-15;24795;15
1028;2012-02-15;23022;27
1069;2012-02-16;18270;5
1098;2012-02-16;24792;5
1024;2012-02-16;27077;5
1078;2012-02-16;27764;5
1094;2012-02-16;22144;6
1051;2012-02-16;26955;6
1058;2012-02-16;18480;26
1079;2012-02-16;22449;22
1076;2012-02-16;25927;13
1010;2012-02-16;22168;17
1029;2012-02-16;22229;19
1099;2012-02-16;19498;17
1092;2012-02-16;19811;20
1081;2012-02-16;18453;25
1014;2012-02-16;25033;27
1095;2012-02-17;24509;6
1064;2012-02-17;23341;5
1094;2012-02-17;27173;7
1024;2012-02-17;22760;7
1093;2012-02-17;19398;6
1025;2012-02-17;26625;22
1004;2012-02-17;26237;12
1047;2012-02-17;23307;19
1019;2012-02-17;19888;27
1028;2012-02-17;18909;19
1093;2012-02-18;25417;6
1095;2012-02-18;19509;6
1066;2012-02-18;23377;20
1099;2012-02-18;26210;24
1081;2012-02-18;27418;26
1028;2012-02-18;20083;24
1081;2012-02-18;22954;19
1071;2012-02-19;20558;5
1073;2012-02-19;18096;6
1007;2012-02-19;19654;6
1095;2012-02-19;22320;7
1024;2012-02-19;18733;7
1095;2012-02-19;23554;6
1001;2012-02-19;21686;7
1011;2012-02-19;20150;16
1080;2012-02-19;23315;14
1039;2012-02-19;21855;21
1028;2012-02-19;19933;25
1039;2012-02-19;21869;22
1014;2012-02-19;20908;26
1075;2012-02-20;25759;5
1038;2012-02-20;23619;15
1015;2012-02-20;20089;12
1022;2012-02-20;18646;13
1041;2012-02-20;24301;27
1003;2012-02-20;27251;16
1067;2012-02-20;24983;14
1092;2012-02-20;26289;26
1007;2012-02-21;25693;5
1086;2012-02-21;27103;15
1037;2012-02-21;25119;16
1045;2012-02-21;20516;22
1006;2012-02-21;27881;24
1039;2012-02-21;24137;26
1007;2012-02-22;18327;5
1083;2012-02-22;23991;5
1007;2012-02-22;19999;5
1083;2012-02-22;21635;6
1062;2012-02-22;20100;6
1087;2012-02-22;22815;24
1022;2012-02-23;25102;14
1072;2012-02-23;25120;10
1049;2012-02-23;22398;14
1090;2012-02-23;20379;10
1070;2012-02-23;22197;25
1056;2012-02-23;18938;15
1060;2012-02-23;23254;12
1062;2012-02-24;22186;6
1093;2012-02-24;23263;7
1093;2012-02-24;19813;5
1083;2012-02-24;23168;6
1078;2012-02-24;26972;6
1084;2012-02-24;25665;13
1037;2012-02-24;26336;21
1052;2012-02-24;22884;22
1037;2012-02-24;27883;13
1074;2012-02-24;25386;12
1082;2012-02-24;18801;18
1081;2012-02-24;24358;26
1071;2012-02-25;26279;7
1075;2012-02-25;20502;5
1073;2012-02-25;23607;5
1064;2012-02-25;24356;6
1094;2012-02-25;25264;6
1094;2012-02-25;22296;7
1015;2012-02-25;23962;14
1044;2012-02-25;19490;18
1045;2012-02-25;22496;15
1020;2012-02-25;25066;15
1017;2012-02-25;21216;15
1052;2012-02-25;25952;24
1024;2012-02-26;23340;7
1001;2012-02-26;22275;5
1095;2012-02-26;22382;5
1090;2012-02-26;26076;21
1059;2012-02-26;21429;24
1013;2012-02-26;18967;21
1006;2012-02-26;21855;19
1069;2012-02-27;20356;7
1075;2012-02-27;27552;6
1045;2012-02-27;22402;24
1054;2012-02-27;27886;16
1019;2012-02-27;24122;23
1031;2012-02-27;20496;22
1074;2012-02-27;23126;20
1057;2012-02-27;20869;12
1067;2012-02-27;27574;13
1099;2012-02-27;20464;16
1022;2012-02-27;19290;18
1091;2012-02-27;25680;15
1014;2012-02-27;22069;28
1039;2012-02-27;26141;23
1073;2012-02-28;20446;6
1007;2012-02-28;24196;7
1051;2012-02-28;26219;7
1084;2012-02-28;23206;24
1018;2012-02-28;26815;16
1046;2012-02-28;21646;18
1096;2012-02-28;18337;25
1034;2012-02-28;22688;19
1077;2012-02-28;20967;14
1028;2012-02-28;21189;25
1039;2012-02-28;23019;26
1081;2012-02-28;19852;26
1039;2012-02-28;27900;27
1083;2012-02-29;19813;6
1029;2012-02-29;18038;19
1039;2012-02-29;18749;24
1081;2012-02-29;23947;23
1083;2012-03-01;23576;7
1069;2012-03-01;24502;7
1007;2012-03-01;24194;7
1070;2012-03-01;23627;20
1061;2012-03-01;26467;19
1019;2012-03-01;23576;20
1020;2012-03-01;21110;15
1091;2012-03-01;25624;17
1014;2012-03-01;24911;19
1039;2012-03-01;26155;27
1071;2012-03-02;18619;6
1095;2012-03-02;21132;6
1071;2012-03-02;19225;5
1094;2012-03-02;26989;7
1086;2012-03-02;23134;14
1052;2012-03-02;20165;22
1018;2012-03-02;24999;16
1039;2012-03-02;21067;28
1014;2012-03-02;19091;25
1071;2012-03-03;19129;7
1075;2012-03-03;22948;6
1030;2012-03-03;23232;6
1071;2012-03-03;23568;7
1064;2012-03-03;27987;6
1030;2012-03-03;23621;6
1003;2012-03-03;22127;25
1087;2012-03-03;18057;20
1042;2012-03-03;20250;25
1022;2012-03-03;22159;21
1050;2012-03-03;21574;18
1031;2012-03-03;26517;19
1044;2012-03-03;19326;18
1058;2012-03-04;21959;23
1054;2012-03-04;20577;14
1079;2012-03-04;20328;20
1017;2012-03-04;21227;24
1033;2012-03-04;19510;17
1028;2012-03-04;19410;30
1092;2012-03-04;18624;21
1092;2012-03-04;25990;22
1014;2012-03-04;19638;26
1092;2012-03-04;20657;22
1028;2012-03-04;20545;25
1083;2012-03-05;22645;6
1030;2012-03-05;23254;5
1080;2012-03-05;22088;21
1087;2012-03-05;24416;18
1035;2012-03-05;25735;16
1012;2012-03-05;26570;19
1014;2012-03-05;24288;31
1039;2012-03-05;20869;21
1014;2012-03-05;19289;26
1092;2012-03-05;21802;24
1062;2012-03-06;23269;3
1094;2012-03-06;27908;6
1051;2012-03-06;22814;6
1073;2012-03-06;25416;6
1055;2012-03-06;27080;19
1052;2012-03-06;22938;21
1029;2012-03-06;23196;14
1059;2012-03-06;27424;14
1096;2012-03-06;27972;16
1032;2012-03-06;19288;17
1028;2012-03-06;23556;27
1014;2012-03-06;27456;26
1039;2012-03-06;19615;25
1028;2012-03-06;24584;22
1062;2012-03-07;27364;6
1007;2012-03-07;20474;6
1098;2012-03-07;21295;6
1006;2012-03-07;26002;16
1044;2012-03-07;23234;8
1090;2012-03-07;18245;28
1006;2012-03-07;20507;15
1065;2012-03-07;24657;20
1072;2012-03-07;18254;15
1039;2012-03-07;24783;21
1064;2012-03-08;20502;7
1089;2012-03-08;19101;21
1086;2012-03-08;27692;16
1042;2012-03-08;24448;24
1028;2012-03-08;22159;24
1014;2012-03-08;27152;19
1081;2012-03-08;20456;30
1081;2012-03-08;18441;23
1028;2012-03-08;23137;22
1095;2012-03-09;21756;2
1007;2012-03-09;26565;5
1051;2012-03-09;19313;6
1030;2012-03-09;22215;6
1051;2012-03-09;26195;6
1093;2012-03-09;27835;5
1086;2012-03-09;21069;14
1043;2012-03-09;27578;19
1048;2012-03-09;26878;17
1061;2012-03-09;18440;13
1076;2012-03-09;20741;13
1021;2012-03-09;22401;15
1079;2012-03-09;26013;22
1039;2012-03-09;24209;24
1028;2012-03-09;22139;29
1081;2012-03-09;24765;27
1073;2012-03-10;26280;7
1024;2012-03-10;20253;6
1079;2012-03-10;19706;17
1029;2012-03-10;24345;18
1006;2012-03-10;19151;13
1029;2012-03-10;21881;19
1081;2012-03-10;26628;21
1014;2012-03-10;20219;24
1051;2012-03-11;27412;4
1071;2012-03-11;23582;7
1095;2012-03-11;23990;5
1038;2012-03-11;21147;24
1076;2012-03-11;21419;21
1067;2012-03-11;26904;17
1034;2012-03-11;19312;17
1080;2012-03-11;21332;14
1053;2012-03-11;18922;16
1037;2012-03-11;20251;16
1039;2012-03-11;23132;23
1014;2012-03-11;20451;25
1007;2012-03-12;21305;7
1062;2012-03-12;18350;6
1030;2012-03-12;25749;7
1030;2012-03-12;27359;7
1001;2012-03-12;21422;3
1036;2012-03-12;23264;19
1038;2012-03-12;25585;14
1036;2012-03-12;23677;7
1040;2012-03-12;24922;18
1082;2012-03-12;22689;19
1021;2012-03-12;20655;23
1081;2012-03-12;20462;27
1039;2012-03-12;20164;25
1062;2012-03-13;20956;6
1057;2012-03-13;19240;16
1099;2012-03-13;27441;19
1047;2012-03-13;22632;21
1081;2012-03-13;25739;28
1081;2012-03-13;21030;18
1028;2012-03-13;26894;25
1001;2012-03-14;23512;5
1083;2012-03-14;25894;5
1024;2012-03-14;27587;7
1075;2012-03-14;22945;7
1089;2012-03-14;22335;13
1060;2012-03-14;26006;17
1035;2012-03-14;26594;22
1100;2012-03-14;26431;14
1060;2012-03-14;19091;19
1066;2012-03-14;24564;17
1014;2012-03-14;26953;21
1039;2012-03-14;19446;19
1024;2012-03-15;25859;6
1098;2012-03-15;27348;6
1007;2012-03-15;25794;5
1088;2012-03-15;26532;24
1006;2012-03-15;19085;10
1002;2012-03-15;21195;16
1029;2012-03-15;20530;15
1052;2012-03-15;20725;14
1025;2012-03-15;26407;23
1025;2012-03-15;27680;19
1028;2012-03-15;24491;25
1028;2012-03-15;23159;23
1081;2012-03-15;26326;28
1039;2012-03-15;22678;27
1039;2012-03-15;23972;27
1051;2012-03-16;20334;5
1064;2012-03-16;22709;6
1017;2012-03-16;22596;13
1091;2012-03-16;19388;21
1055;2012-03-16;26327;16
1077;2012-03-16;21450;15
1066;2012-03-16;25313;19
1063;2012-03-16;21875;16
1092;2012-03-16;25349;25
1098;2012-03-17;21622;7
1095;2012-03-17;26406;6
1029;2012-03-17;19109;26
1100;2012-03-17;25226;13
1057;2012-03-17;19338;21
1042;2012-03-17;26982;21
1026;2012-03-17;25230;13
1052;2012-03-17;26200;26
1020;2012-03-17;22274;22
1016;2012-03-17;25294;28
1066;2012-03-17;24000;13
1072;2012-03-17;24933;21
1089;2012-03-17;18904;20
1081;2012-03-17;20004;20
1081;2012-03-17;23562;30
1093;2012-03-18;19574;6
1051;2012-03-18;26520;5
1071;2012-03-18;22882;6
1099;2012-03-18;19952;22
1050;2012-03-18;20820;14
1070;2012-03-18;25247;15
1090;2012-03-18;23885;18
1082;2012-03-18;18762;12
1065;2012-03-18;21378;19
1028;2012-03-18;24983;28
1066;2012-03-19;18595;24
1041;2012-03-19;23345;20
1080;2012-03-19;18913;20
1022;2012-03-19;27376;15
1008;2012-03-19;27096;21
1085;2012-03-19;24292;12
1091;2012-03-19;26532;13
1006;2012-03-19;18825;17
1036;2012-03-19;20414;16
1093;2012-03-20;27970;7
1068;2012-03-20;27056;12
1002;2012-03-20;22155;17
1091;2012-03-20;23193;20
1004;2012-03-20;19286;12
1087;2012-03-20;22442;16
1041;2012-03-20;25458;21
1092;2012-03-20;23010;29
1092;2012-03-20;18666;29
1014;2012-03-20;26170;22
1051;2012-03-21;23058;7
1064;2012-03-21;18233;6
1094;2012-03-21;20915;7
1030;2012-03-21;23380;6
1083;2012-03-21;21584;5
1009;2012-03-21;21854;19
1010;2012-03-21;27086;13
1089;2012-03-21;22001;23
1018;2012-03-21;25179;14
1016;2012-03-21;26174;20
1081;2012-03-21;23559;27
1095;2012-03-22;19112;6
1093;2012-03-22;20217;7
1025;2012-03-22;23411;20
1060;2012-03-22;25881;20
1031;2012-03-22;20400;17
1063;2012-03-22;25354;14
1066;2012-03-22;18006;24
1003;2012-03-22;21686;17
1057;2012-03-22;23177;24
1005;2012-03-22;24220;15
1028;2012-03-22;27051;26
1028;2012-03-22;26047;27
1092;2012-03-22;25270;23
1039;2012-03-22;24842;24
1092;2012-03-22;21957;26
1092;2012-03-22;20703;26
1081;2012-03-22;26644;25
1095;2012-03-23;24346;6
1069;2012-03-23;26224;5
1094;2012-03-23;22489;7
1095;2012-03-23;24824;4
1051;2012-03-23;25366;6
1035;2012-03-23;27959;20
1082;2012-03-23;24346;20
1045;2012-03-23;23350;19
1077;2012-03-23;24054;14
1003;2012-03-23;24513;21
1091;2012-03-23;26095;18
1019;2012-03-23;23476;10
1039;2012-03-23;25449;24
1039;2012-03-23;23626;27
1071;2012-03-24;19371;6
1098;2012-03-24;22532;5
1073;2012-03-24;21594;7
1083;2012-03-24;20433;4
1069;2012-03-24;27525;5
1093;2012-03-24;26893;5
1033;2012-03-24;26305;21
1090;2012-03-24;20622;24
1053;2012-03-24;22800;18
1010;2012-03-24;27953;14
1022;2012-03-24;20996;18
1058;2012-03-24;24483;22
